Polarization Analyzer Results

No	PER [dB]	Lin. PER [dB]	Lin. V	φ [°]	DOP [%]	Intensity [%]	Intensity bar	Comment	Timestamp
100	2.3	1.7	1	24.4	78.2	7.6	0	comment is empty	28.05.2025, 19:34:51
101	2.3	1.7	1	24.3	78.1	7.6	0	comment is empty	28.05.2025, 19:34:52
102	2.3	1.7	1	24.5	78.1	7.6	0	comment is empty	28.05.2025, 19:34:53
103	2.3	1.7	1	24.5	78.2	7.6	0	comment is empty	28.05.2025, 19:34:54
104	2.3	1.7	1	24.7	78.0	7.6	0	comment is empty	28.05.2025, 19:34:55
105	2.3	1.7	1	24.6	78.1	7.6	0	comment is empty	28.05.2025, 19:34:56
106	2.3	1.7	1	24.6	78.2	7.6	0	comment is empty	28.05.2025, 19:34:57
107	2.3	1.7	1	24.7	78.1	7.6	0	comment is empty	28.05.2025, 19:34:58
108	2.3	1.7	1	24.6	78.2	7.6	0	comment is empty	28.05.2025, 19:34:59
109	2.3	1.7	1	24.6	78.2	7.6	0	comment is empty	28.05.2025, 19:35:00
110	2.3	1.7	1	24.5	78.2	7.6	0	comment is empty	28.05.2025, 19:35:01
111	2.3	1.7	1	24.7	78.2	7.5	0	comment is empty	28.05.2025, 19:35:02
112	2.3	1.7	1	24.6	78.1	7.5	0	comment is empty	28.05.2025, 19:35:03
113	2.2	1.6	1	25.0	78.0	7.5	0	comment is empty	28.05.2025, 19:35:04
114	2.3	1.7	1	24.8	78.2	7.5	0	comment is empty	28.05.2025, 19:35:05
115	2.3	1.7	1	24.8	78.0	7.6	0	comment is empty	28.05.2025, 19:35:06
116	2.2	1.6	1	25.3	78.2	7.5	0	comment is empty	28.05.2025, 19:35:07
117	2.2	1.6	1	25.1	78.0	7.5	0	comment is empty	28.05.2025, 19:35:08
118	2.1	1.6	1	25.2	78.0	7.5	0	comment is empty	28.05.2025, 19:35:09
119	2.1	1.6	1	25.3	78.0	7.5	0	comment is empty	28.05.2025, 19:35:10
120	2.0	1.5	1	25.6	78.0	7.5	0	comment is empty	28.05.2025, 19:35:11
121	2.0	1.5	1	25.9	78.0	7.5	0	comment is empty	28.05.2025, 19:35:12
122	2.0	1.4	1	26.2	77.9	7.5	0	comment is empty	28.05.2025, 19:35:13
123	1.9	1.4	1	26.7	78.0	7.4	0	comment is empty	28.05.2025, 19:35:14
124	1.9	1.4	1	26.8	77.8	7.5	0	comment is empty	28.05.2025, 19:35:15
125	1.8	1.4	1	27.1	77.9	7.4	0	comment is empty	28.05.2025, 19:35:16
126	1.8	1.4	1	27.3	78.0	7.4	0	comment is empty	28.05.2025, 19:35:17
127	1.8	1.3	1	27.6	77.9	7.4	0	comment is empty	28.05.2025, 19:35:18
128	1.8	1.3	1	27.7	77.8	7.4	0	comment is empty	28.05.2025, 19:35:19
129	1.8	1.3	1	27.9	77.9	7.4	0	comment is empty	28.05.2025, 19:35:20
130	1.7	1.3	1	28.6	77.8	7.4	0	comment is empty	28.05.2025, 19:35:21
131	1.7	1.3	1	29.0	77.7	7.4	0	comment is empty	28.05.2025, 19:35:22
132	1.7	1.3	1	29.1	77.9	7.4	0	comment is empty	28.05.2025, 19:35:23
133	1.6	1.2	1	30.2	77.8	7.4	0	comment is empty	28.05.2025, 19:35:24
134	1.6	1.2	1	30.3	77.8	7.4	0	comment is empty	28.05.2025, 19:35:25
135	1.6	1.2	1	31.3	77.7	7.4	0	comment is empty	28.05.2025, 19:35:26
136	1.5	1.1	1	32.0	77.9	7.4	0	comment is empty	28.05.2025, 19:35:27
137	1.5	1.1	1	32.4	77.9	7.4	0	comment is empty	28.05.2025, 19:35:28
138	1.5	1.1	1	33.9	77.8	7.4	0	comment is empty	28.05.2025, 19:35:29
139	1.4	1.1	1	34.0	77.8	7.4	0	comment is empty	28.05.2025, 19:35:30
140	1.4	1.1	1	35.5	77.8	7.3	0	comment is empty	28.05.2025, 19:35:31
141	1.4	1.1	1	36.3	77.9	7.3	0	comment is empty	28.05.2025, 19:35:32
142	1.4	1.0	1	37.3	77.9	7.3	0	comment is empty	28.05.2025, 19:35:33
143	1.4	1.0	1	38.3	77.9	7.3	0	comment is empty	28.05.2025, 19:35:34
144	1.4	1.0	1	39.8	77.9	7.3	0	comment is empty	28.05.2025, 19:35:35
145	1.4	1.0	1	41.3	77.9	7.2	0	comment is empty	28.05.2025, 19:35:36
146	1.4	1.0	1	42.5	78.0	7.3	0	comment is empty	28.05.2025, 19:35:37
147	1.4	1.0	1	43.5	78.0	7.3	0	comment is empty	28.05.2025, 19:35:38
148	1.4	1.0	1	44.8	78.1	7.2	0	comment is empty	28.05.2025, 19:35:39
149	1.4	1.0	1	45.6	78.0	7.2	0	comment is empty	28.05.2025, 19:35:40
150	1.4	1.0	1	46.7	78.1	7.2	0	comment is empty	28.05.2025, 19:35:41
151	1.4	1.0	1	47.1	78.1	7.3	0	comment is empty	28.05.2025, 19:35:42
152	1.4	1.1	1	48.3	78.2	7.2	0	comment is empty	28.05.2025, 19:35:43
153	1.4	1.1	1	49.0	78.1	7.2	0	comment is empty	28.05.2025, 19:35:44
154	1.4	1.1	1	50.3	78.2	7.2	0	comment is empty	28.05.2025, 19:35:45
155	1.5	1.1	1	50.7	78.3	7.2	0	comment is empty	28.05.2025, 19:35:46
156	1.5	1.1	1	51.4	78.2	7.2	0	comment is empty	28.05.2025, 19:35:47
157	1.5	1.1	1	51.9	78.3	7.2	0	comment is empty	28.05.2025, 19:35:48
158	1.5	1.2	1	52.7	78.4	7.2	0	comment is empty	28.05.2025, 19:35:49
159	1.6	1.2	1	53.6	78.4	7.2	0	comment is empty	28.05.2025, 19:35:50
160	1.6	1.2	1	54.3	78.5	7.2	0	comment is empty	28.05.2025, 19:35:51
161	1.6	1.2	1	54.6	78.5	7.2	0	comment is empty	28.05.2025, 19:35:52
162	1.7	1.3	1	56.0	78.6	7.2	0	comment is empty	28.05.2025, 19:35:53
163	1.8	1.3	1	56.3	78.6	7.2	0	comment is empty	28.05.2025, 19:35:54
164	1.8	1.3	1	56.9	78.7	7.2	0	comment is empty	28.05.2025, 19:35:55
165	1.8	1.4	1	57.4	78.7	7.2	0	comment is empty	28.05.2025, 19:35:56
166	1.8	1.4	1	57.2	78.8	7.2	0	comment is empty	28.05.2025, 19:35:57
167	1.9	1.4	1	57.8	78.7	7.2	0	comment is empty	28.05.2025, 19:35:58
168	1.9	1.4	1	58.0	78.9	7.2	0	comment is empty	28.05.2025, 19:35:59
169	2.0	1.5	1	58.3	79.0	7.2	0	comment is empty	28.05.2025, 19:36:00
170	2.0	1.5	1	58.9	79.0	7.2	0	comment is empty	28.05.2025, 19:36:01
171	2.1	1.6	1	59.1	79.1	7.2	0	comment is empty	28.05.2025, 19:36:02
172	2.1	1.6	1	59.4	79.1	7.2	0	comment is empty	28.05.2025, 19:36:03
173	2.2	1.6	1	60.0	79.1	7.1	0	comment is empty	28.05.2025, 19:36:04
174	2.2	1.7	1	60.2	79.4	7.2	0	comment is empty	28.05.2025, 19:36:05
175	2.2	1.7	1	59.9	79.3	7.1	0	comment is empty	28.05.2025, 19:36:06
176	2.3	1.7	1	60.0	79.4	7.1	0	comment is empty	28.05.2025, 19:36:07
177	2.3	1.8	1	60.3	79.5	7.2	0	comment is empty	28.05.2025, 19:36:08
178	2.3	1.7	1	60.4	79.4	7.1	0	comment is empty	28.05.2025, 19:36:09
179	2.4	1.8	1	60.2	79.5	7.1	0	comment is empty	28.05.2025, 19:36:10
180	2.4	1.8	2	60.6	79.5	7.2	0	comment is empty	28.05.2025, 19:36:11
181	2.5	1.9	2	60.4	79.7	7.1	0	comment is empty	28.05.2025, 19:36:12
182	2.5	1.9	2	60.5	79.7	7.2	0	comment is empty	28.05.2025, 19:36:13
183	2.6	1.9	2	60.7	79.9	7.2	0	comment is empty	28.05.2025, 19:36:14
184	2.6	1.9	2	60.6	79.8	7.1	0	comment is empty	28.05.2025, 19:36:15
185	2.7	2.0	2	60.8	79.9	7.2	0	comment is empty	28.05.2025, 19:36:16
186	2.8	2.1	2	60.4	80.1	7.1	0	comment is empty	28.05.2025, 19:36:17
187	2.9	2.1	2	60.4	80.2	7.1	0	comment is empty	28.05.2025, 19:36:18
188	2.9	2.2	2	60.5	80.3	7.2	0	comment is empty	28.05.2025, 19:36:19
189	3.0	2.2	2	60.2	80.5	7.1	0	comment is empty	28.05.2025, 19:36:20
190	3.0	2.2	2	60.4	80.5	7.2	0	comment is empty	28.05.2025, 19:36:21
191	3.0	2.3	2	60.3	80.5	7.2	0	comment is empty	28.05.2025, 19:36:22
192	3.1	2.3	2	60.3	80.5	7.2	0	comment is empty	28.05.2025, 19:36:23
193	3.1	2.3	2	60.1	80.6	7.2	0	comment is empty	28.05.2025, 19:36:24
194	3.2	2.3	2	60.1	80.6	7.2	0	comment is empty	28.05.2025, 19:36:25
195	3.2	2.4	2	59.9	80.8	7.2	0	comment is empty	28.05.2025, 19:36:26
196	3.3	2.4	2	59.9	80.9	7.2	0	comment is empty	28.05.2025, 19:36:27
197	3.3	2.4	2	59.9	80.9	7.2	0	comment is empty	28.05.2025, 19:36:28
198	3.3	2.5	2	59.7	81.0	7.2	0	comment is empty	28.05.2025, 19:36:29
199	3.4	2.5	2	59.4	81.2	7.2	0	comment is empty	28.05.2025, 19:36:30
200	3.4	2.6	2	59.2	81.2	7.2	0	comment is empty	28.05.2025, 19:36:31
201	3.5	2.6	2	59.3	81.2	7.2	0	comment is empty	28.05.2025, 19:36:32
202	3.5	2.6	2	59.2	81.2	7.2	0	comment is empty	28.05.2025, 19:36:33
203	3.6	2.6	2	59.0	81.3	7.3	0	comment is empty	28.05.2025, 19:36:34
204	3.6	2.7	2	58.9	81.4	7.3	0	comment is empty	28.05.2025, 19:36:35
205	3.6	2.7	2	58.8	81.4	7.3	0	comment is empty	28.05.2025, 19:36:36
206	3.7	2.7	2	58.7	81.5	7.3	0	comment is empty	28.05.2025, 19:36:37
207	3.7	2.8	2	58.3	81.6	7.2	0	comment is empty	28.05.2025, 19:36:38
208	3.8	2.8	2	58.3	81.6	7.3	0	comment is empty	28.05.2025, 19:36:39
209	3.8	2.8	2	58.2	81.7	7.3	0	comment is empty	28.05.2025, 19:36:40
210	3.9	2.9	2	57.9	81.8	7.3	0	comment is empty	28.05.2025, 19:36:41
211	3.9	2.9	2	57.8	81.7	7.3	0	comment is empty	28.05.2025, 19:36:42
212	3.9	2.9	2	57.5	81.9	7.3	0	comment is empty	28.05.2025, 19:36:43
213	4.0	2.9	2	57.2	81.9	7.3	0	comment is empty	28.05.2025, 19:36:44
214	4.0	3.0	2	57.1	82.0	7.3	0	comment is empty	28.05.2025, 19:36:45
215	4.1	3.0	2	57.0	82.1	7.4	0	comment is empty	28.05.2025, 19:36:46
216	4.1	3.0	2	56.6	82.1	7.3	0	comment is empty	28.05.2025, 19:36:47
217	4.1	3.0	2	56.5	82.1	7.4	0	comment is empty	28.05.2025, 19:36:48
218	4.2	3.1	2	56.5	82.2	7.4	0	comment is empty	28.05.2025, 19:36:49
219	4.2	3.1	2	56.3	82.2	7.4	0	comment is empty	28.05.2025, 19:36:50
220	4.2	3.1	2	56.1	82.3	7.4	0	comment is empty	28.05.2025, 19:36:51
221	4.2	3.1	2	56.0	82.2	7.4	0	comment is empty	28.05.2025, 19:36:52
222	4.3	3.2	2	55.7	82.4	7.4	0	comment is empty	28.05.2025, 19:36:53
223	4.3	3.2	2	55.6	82.3	7.4	0	comment is empty	28.05.2025, 19:36:54
224	4.4	3.2	2	55.1	82.5	7.4	0	comment is empty	28.05.2025, 19:36:55
225	4.4	3.2	2	54.9	82.5	7.4	0	comment is empty	28.05.2025, 19:36:56
226	4.4	3.2	2	54.8	82.5	7.4	0	comment is empty	28.05.2025, 19:36:57
227	4.4	3.2	2	54.6	82.6	7.4	0	comment is empty	28.05.2025, 19:36:58
228	4.5	3.3	2	54.2	82.5	7.5	0	comment is empty	28.05.2025, 19:36:59
229	4.5	3.3	2	54.2	82.6	7.5	0	comment is empty	28.05.2025, 19:37:00
230	4.5	3.3	2	54.1	82.5	7.5	0	comment is empty	28.05.2025, 19:37:01
231	4.5	3.3	2	54.1	82.5	7.5	0	comment is empty	28.05.2025, 19:37:02
232	4.5	3.3	2	53.7	82.6	7.5	0	comment is empty	28.05.2025, 19:37:03
233	4.6	3.3	2	53.5	82.6	7.6	0	comment is empty	28.05.2025, 19:37:04
234	4.6	3.4	2	53.3	82.8	7.6	0	comment is empty	28.05.2025, 19:37:05
235	4.6	3.4	2	53.2	82.7	7.6	0	comment is empty	28.05.2025, 19:37:06
236	4.6	3.4	2	52.8	82.7	7.6	0	comment is empty	28.05.2025, 19:37:07
237	4.7	3.4	2	52.4	82.8	7.6	0	comment is empty	28.05.2025, 19:37:08
238	4.7	3.4	2	52.3	82.7	7.6	0	comment is empty	28.05.2025, 19:37:09
239	4.7	3.4	2	52.1	82.7	7.6	0	comment is empty	28.05.2025, 19:37:10
240	4.7	3.4	2	51.9	82.7	7.6	0	comment is empty	28.05.2025, 19:37:11
241	4.8	3.5	2	51.4	82.9	7.6	0	comment is empty	28.05.2025, 19:37:12
242	4.8	3.5	2	51.3	82.8	7.6	0	comment is empty	28.05.2025, 19:37:13
243	4.8	3.5	2	51.0	82.8	7.7	0	comment is empty	28.05.2025, 19:37:14
244	4.8	3.5	2	51.1	82.7	7.6	0	comment is empty	28.05.2025, 19:37:15
245	4.8	3.5	2	51.0	82.7	7.7	0	comment is empty	28.05.2025, 19:37:16
246	4.8	3.5	2	50.6	82.9	7.7	0	comment is empty	28.05.2025, 19:37:17
247	4.8	3.5	2	50.3	82.8	7.7	0	comment is empty	28.05.2025, 19:37:18
248	4.8	3.5	2	50.2	82.8	7.7	0	comment is empty	28.05.2025, 19:37:19
249	4.8	3.5	2	49.8	82.7	7.7	0	comment is empty	28.05.2025, 19:37:20
250	4.9	3.5	2	49.5	82.8	7.7	0	comment is empty	28.05.2025, 19:37:21
251	4.9	3.6	2	49.4	82.7	7.8	0	comment is empty	28.05.2025, 19:37:22
252	4.9	3.5	2	49.1	82.8	7.7	0	comment is empty	28.05.2025, 19:37:23
253	4.9	3.6	2	48.8	82.8	7.8	0	comment is empty	28.05.2025, 19:37:24
254	4.9	3.6	2	48.6	82.7	7.8	0	comment is empty	28.05.2025, 19:37:25
255	4.9	3.6	2	48.4	82.7	7.8	0	comment is empty	28.05.2025, 19:37:26
256	4.9	3.6	2	48.4	82.6	7.8	0	comment is empty	28.05.2025, 19:37:27
257	4.9	3.6	2	48.1	82.7	7.8	0	comment is empty	28.05.2025, 19:37:28
258	4.9	3.6	2	47.4	82.5	7.8	0	comment is empty	28.05.2025, 19:37:29
259	5.0	3.6	2	47.2	82.6	7.8	0	comment is empty	28.05.2025, 19:37:30
260	5.0	3.6	2	46.9	82.5	7.8	0	comment is empty	28.05.2025, 19:37:31
261	5.0	3.6	2	46.7	82.5	7.9	0	comment is empty	28.05.2025, 19:37:32
262	5.0	3.6	2	46.4	82.4	7.9	0	comment is empty	28.05.2025, 19:37:33
263	5.0	3.6	2	46.1	82.5	7.9	0	comment is empty	28.05.2025, 19:37:34
264	5.0	3.6	2	45.9	82.4	7.9	0	comment is empty	28.05.2025, 19:37:35
265	5.0	3.6	2	45.7	82.4	7.9	0	comment is empty	28.05.2025, 19:37:36
266	5.0	3.6	2	45.3	82.3	7.9	0	comment is empty	28.05.2025, 19:37:37
267	5.0	3.6	2	45.2	82.3	7.9	0	comment is empty	28.05.2025, 19:37:38
268	5.0	3.6	2	44.8	82.3	7.9	0	comment is empty	28.05.2025, 19:37:39
269	5.0	3.6	2	44.9	82.2	8.0	0	comment is empty	28.05.2025, 19:37:40
270	5.0	3.6	2	44.6	82.3	8.0	0	comment is empty	28.05.2025, 19:37:41
271	5.0	3.6	2	44.4	82.1	8.0	0	comment is empty	28.05.2025, 19:37:42
272	5.0	3.6	2	44.1	82.1	8.0	0	comment is empty	28.05.2025, 19:37:43
273	4.9	3.5	2	43.8	82.1	8.0	0	comment is empty	28.05.2025, 19:37:44
274	5.0	3.5	2	43.6	82.0	8.0	0	comment is empty	28.05.2025, 19:37:45
275	5.0	3.5	2	43.3	82.0	8.0	0	comment is empty	28.05.2025, 19:37:46
276	4.9	3.5	2	43.0	81.9	8.0	0	comment is empty	28.05.2025, 19:37:47
277	4.9	3.5	2	42.8	81.9	8.0	0	comment is empty	28.05.2025, 19:37:48
278	4.9	3.5	2	42.5	81.9	8.0	0	comment is empty	28.05.2025, 19:37:49
279	4.9	3.5	2	42.3	81.7	8.0	0	comment is empty	28.05.2025, 19:37:50
280	4.9	3.5	2	42.1	81.7	8.0	0	comment is empty	28.05.2025, 19:37:51
281	4.9	3.5	2	41.8	81.7	8.0	0	comment is empty	28.05.2025, 19:37:52
282	4.9	3.5	2	41.6	81.6	8.1	0	comment is empty	28.05.2025, 19:37:53
283	4.9	3.5	2	41.5	81.6	8.0	0	comment is empty	28.05.2025, 19:37:54
284	4.9	3.5	2	41.3	81.5	8.1	0	comment is empty	28.05.2025, 19:37:55
285	4.9	3.5	2	41.0	81.5	8.1	0	comment is empty	28.05.2025, 19:37:56
286	4.9	3.5	2	40.7	81.4	8.1	0	comment is empty	28.05.2025, 19:37:57
287	4.9	3.4	2	40.5	81.3	8.1	0	comment is empty	28.05.2025, 19:37:58
288	4.8	3.4	2	40.2	81.3	8.1	0	comment is empty	28.05.2025, 19:37:59
289	4.8	3.4	2	40.0	81.3	8.1	0	comment is empty	28.05.2025, 19:38:00
290	4.8	3.4	2	39.8	81.2	8.1	0	comment is empty	28.05.2025, 19:38:01
291	4.8	3.4	2	39.5	81.1	8.1	0	comment is empty	28.05.2025, 19:38:02
292	4.8	3.4	2	39.2	81.0	8.1	0	comment is empty	28.05.2025, 19:38:03
293	4.8	3.4	2	38.9	81.0	8.1	0	comment is empty	28.05.2025, 19:38:04
294	4.8	3.4	2	38.6	80.9	8.1	0	comment is empty	28.05.2025, 19:38:05
295	4.7	3.4	2	38.4	80.9	8.1	0	comment is empty	28.05.2025, 19:38:06
296	4.7	3.3	2	38.5	80.8	8.1	0	comment is empty	28.05.2025, 19:38:07
297	4.7	3.3	2	38.2	80.8	8.1	0	comment is empty	28.05.2025, 19:38:08
298	4.7	3.3	2	37.9	80.7	8.1	0	comment is empty	28.05.2025, 19:38:09
299	4.7	3.3	2	37.7	80.7	8.1	0	comment is empty	28.05.2025, 19:38:10
300	4.7	3.3	2	37.4	80.5	8.1	0	comment is empty	28.05.2025, 19:38:11
301	4.7	3.3	2	37.2	80.4	8.1	0	comment is empty	28.05.2025, 19:38:12
